"AREA_CD","REGION_CD","LU_DT","LU_USER_ID"
"AB77","PR",03-JUN-11,1
"AB78","PR",03-JUN-11,1
"AB79","PR",03-JUN-11,1
"AB80","PR",03-JUN-11,1
"AB81","PR",03-JUN-11,1
"AA1","PR",03-JUN-11,1
"AA2","PR",03-JUN-11,1
"AA3","PR",03-JUN-11,1
"AA4","PR",03-JUN-11,1
"AA5","PR",03-JUN-11,1
"AA6","PR",03-JUN-11,1
"AA7","PR",03-JUN-11,1
"AA8","PR",03-JUN-11,1
"AA9","PR",03-JUN-11,1
"AA10","PR",03-JUN-11,1
"AA11","PR",03-JUN-11,1
"AA12","PR",03-JUN-11,1
"AA13","PR",03-JUN-11,1
"AA14","PR",03-JUN-11,1
"AA15","PR",03-JUN-11,1
"AA16","PR",03-JUN-11,1
"AA17","PR",03-JUN-11,1
"AA18","PR",03-JUN-11,1
"AA19","PR",03-JUN-11,1
"AA20","PR",03-JUN-11,1
"AA21","PR",03-JUN-11,1
"AA22","PR",03-JUN-11,1
"AA62","PR",03-JUN-11,1
"AA63","PR",03-JUN-11,1
"AA64","PR",03-JUN-11,1
"AA65","PR",03-JUN-11,1
"AA66","PR",03-JUN-11,1
"AA67","PR",03-JUN-11,1
"AA68","PR",03-JUN-11,1
"AA69","PR",03-JUN-11,1
"AA70","PR",03-JUN-11,1
"AA71","PR",03-JUN-11,1
"AA72","PR",03-JUN-11,1
"AA73","PR",03-JUN-11,1
"AA74","PR",03-JUN-11,1
"AA75","PR",03-JUN-11,1
"AA76","PR",03-JUN-11,1
"AA77","PR",03-JUN-11,1
"AA78","PR",03-JUN-11,1
"AA79","PR",03-JUN-11,1
"AA80","PR",03-JUN-11,1
"Z1","PR",03-JUN-11,1
"Z2","PR",03-JUN-11,1
"Z3","PR",03-JUN-11,1
"Z4","PR",03-JUN-11,1
"Z5","PR",03-JUN-11,1
"Z6","PR",03-JUN-11,1
"Z7","PR",03-JUN-11,1
"Z8","PR",03-JUN-11,1
"Z9","PR",03-JUN-11,1
"Z10","PR",03-JUN-11,1
"Z11","PR",03-JUN-11,1
"Z12","PR",03-JUN-11,1
"Z13","PR",03-JUN-11,1
"Z14","PR",03-JUN-11,1
"Z15","PR",03-JUN-11,1
"Z16","PR",03-JUN-11,1
"Z17","PR",03-JUN-11,1
"Z18","PR",03-JUN-11,1
"Z19","PR",03-JUN-11,1
"Z20","PR",03-JUN-11,1
"Z21","PR",03-JUN-11,1
"Z22","PR",03-JUN-11,1
"Z23","PR",03-JUN-11,1
"Z62","PR",03-JUN-11,1
"Z63","PR",03-JUN-11,1
"Z64","PR",03-JUN-11,1
"Z65","PR",03-JUN-11,1
"Z66","PR",03-JUN-11,1
"Z67","PR",03-JUN-11,1
"Z68","PR",03-JUN-11,1
"Z69","PR",03-JUN-11,1
"Z70","PR",03-JUN-11,1
"Z71","PR",03-JUN-11,1
"Z72","PR",03-JUN-11,1
"Z73","PR",03-JUN-11,1
"Z74","PR",03-JUN-11,1
"Z75","PR",03-JUN-11,1
"Z76","PR",03-JUN-11,1
"Z77","PR",03-JUN-11,1
"Z78","PR",03-JUN-11,1
"Z79","PR",03-JUN-11,1
"Z80","PR",03-JUN-11,1
"Z81","PR",03-JUN-11,1
"Y1","PR",03-JUN-11,1
"Y2","PR",03-JUN-11,1
"Y3","PR",03-JUN-11,1
"Y4","PR",03-JUN-11,1
"Y5","PR",03-JUN-11,1
"Y6","PR",03-JUN-11,1
"Y7","PR",03-JUN-11,1
"Y8","PR",03-JUN-11,1
"Y9","PR",03-JUN-11,1
"Y10","PR",03-JUN-11,1
"Y11","PR",03-JUN-11,1
"Y12","PR",03-JUN-11,1
"Y13","PR",03-JUN-11,1
"Y14","PR",03-JUN-11,1
"Y15","PR",03-JUN-11,1
"Y16","PR",03-JUN-11,1
"Y17","PR",03-JUN-11,1
"Y18","PR",03-JUN-11,1
"Y19","PR",03-JUN-11,1
"Y20","PR",03-JUN-11,1
"Y21","PR",03-JUN-11,1
"Y22","PR",03-JUN-11,1
"Y23","PR",03-JUN-11,1
"Y24","PR",03-JUN-11,1
"Y63","PR",03-JUN-11,1
"Y64","PR",03-JUN-11,1
"Y65","PR",03-JUN-11,1
"Y66","PR",03-JUN-11,1
"Y67","PR",03-JUN-11,1
"Y68","PR",03-JUN-11,1
"Y69","PR",03-JUN-11,1
"Y70","PR",03-JUN-11,1
"Y71","PR",03-JUN-11,1
"Y72","PR",03-JUN-11,1
"Y73","PR",03-JUN-11,1
"Y74","PR",03-JUN-11,1
"Y75","PR",03-JUN-11,1
"Y76","PR",03-JUN-11,1
"Y77","PR",03-JUN-11,1
"Y78","PR",03-JUN-11,1
"Y79","PR",03-JUN-11,1
"Y80","PR",03-JUN-11,1
"Y81","PR",03-JUN-11,1
"X1","PR",03-JUN-11,1
"X2","PR",03-JUN-11,1
"X3","PR",03-JUN-11,1
"X4","PR",03-JUN-11,1
"X5","PR",03-JUN-11,1
"X6","PR",03-JUN-11,1
"X7","PR",03-JUN-11,1
"X8","PR",03-JUN-11,1
"X9","PR",03-JUN-11,1
"X10","PR",03-JUN-11,1
