"DIALECT_CD","GEAR_CD","DIALECT_GEAR_NM","SEQ","LU_DT","LU_USER_ID"
"EN03","TRAP_FISH","FISH TRAP",,16-AUG-13,162
"EN03","TRAP_LCRAB","LAND CRAB TRAP",,16-AUG-13,162
"EN03","TRAP_LOB","LOBSTER TRAP",,16-AUG-13,162
"EN03","TRAP_UNK","TRAP-UNKNOWN TYPE",,16-AUG-13,162
"EN01","HL_BOTTOM","BOTTOM FISHING HOOK AND LINE",,15-AUG-13,161
"EN01","HL_BLL","BOTTOM LONGLINE",,15-AUG-13,161
"EN01","HL_BUOY","BUOY GEAR",,15-AUG-13,161
"EN01","HL_DLL","DRIFT LONGLINE",,15-AUG-13,161
"EN01","HL_HAND","HANDLINE",,15-AUG-13,161
"EN01","HL_POW_REEL","HOOK AND LINE WITH POWER WINCH",,15-AUG-13,161
"EN01","HL_UNK","HOOK AND LINE-UNKNOWN TYPE",,15-AUG-13,161
"EN01","HL_LL","LONGLINE",,15-AUG-13,161
"EN01","HL_TROLL","TROLLED HOOK AND LINE",,15-AUG-13,161
"EN01","HL_VLL","VERTICAL LONGLINE",,15-AUG-13,161
"EN01","NET_BSEINE","BEACH SEINE",,15-AUG-13,161
"EN01","NET_GILL_BOTT","BOTTOM GILL NET",,15-AUG-13,161
"EN01","NET_CAST","CAST NET",,15-AUG-13,161
"EN01","NET_DROP","DROP NET (LIFT NET)",,15-AUG-13,161
"EN01","NET_GILL","GILL NET",,15-AUG-13,161
"EN01","GILL_NET_SURFACE","GILL NET, SURFACE",,15-AUG-13,161
"EN01","NET_UNK","NET-UNKNOWN TYPE",,15-AUG-13,161
"EN01","NET_SEINE","SEINE NET",,15-AUG-13,161
"EN01","NET_TRAM","TRAMMEL NET",,15-AUG-13,161
"EN01","HAND","BY HAND",,15-AUG-13,161
"EN01","HAND_SD","BY HAND WHILE SKIN DVING",,15-AUG-13,161
"EN01","SCUBA","BY HAND WITH SCUBA",,15-AUG-13,161
"EN01","HAND_SNARE","BY SNARE WITH SCUBA",,15-AUG-13,161
"EN01","HAND_GAFF_SCUBA","HAND GAFF WHILE SCUBA DIVING",,15-AUG-13,161
"EN01","HAND_GAFF_SD","HAND GAFF WHILE SKIN DIVING",,15-AUG-13,161
"EN01","HAND_SNARE_SD","HAND SNARE WHILE SKIN DIVING",,15-AUG-13,161
