"LANDING_LOCATION_CD","LANDING_LOCATION_NM","LANDING_LOCATION_COUNTY","ISLAND_CD","IS_ENABLED","LU_DT","LU_USER_ID"
"2415500","HOARE SUBBARRIO","SAN JUAN","P",1,23-JUL-12,162
"1991932","PUERTO DEL REY MARINA","FAJARDO","P",1,23-JUL-12,162
"1611738","PUERTO DE JOBOS","GUAYAMA","P",1,23-JUL-12,162
"1992875","LA GUANCHA PASEO TABLADO","PONCE","P",1,23-JUL-12,162
"16116905S","PLAYA SANTA","GUANICA","P",1,10-SEP-12,162
"1614337","SMITH BAY","IN EASTERN ST. THOMAS.","T",1,09-SEP-13,161
"1804503","COROZAL MUNICIPIO","COROZAL","P",1,05-JAN-12,162
"1804493","CAMUY MUNICIPIO","CAMUY","P",1,05-JAN-12,162
"1804488","BARCELONETA MUNICIPIO","BARCELONETA","P",1,05-JAN-12,162
"1804545","SAN LORENZO MUNICIPIO","SAN LORENZO","P",1,05-JAN-12,162
"1804551","UTUADO MUNICIPIO","UTUADO","P",1,05-JAN-12,162
"1804527","MARICAO MUNICIPIO","MARICAO","P",1,05-JAN-12,162
"1804532","NAGUABO MUNICIPIO","NAGUABO","P",1,05-JAN-12,162
"1804481","AGUADA MUNICIPIO","AGUADA","P",1,05-JAN-12,162
"1804513","HATILLO MUNICIPIO","HATILLO","P",1,05-JAN-12,162
"1804528","MAUNABO MUNICIPIO","MAUNABO","P",1,05-JAN-12,162
"1804543","SAN GERMAN MUNICIPIO","SAN GERMAN","P",1,05-JAN-12,162
"1804537","PONCE MUNICIPIO","PONCE","P",1,05-JAN-12,162
"1804522","LAS MARIAS MUNICIPIO","LAS MARIAS","P",1,05-JAN-12,162
"1804492","CAGUAS MUNICIPIO","CAGUAS","P",1,05-JAN-12,162
"1804490","BAYAMON MUNICIPIO","BAYAMON","P",1,05-JAN-12,162
"1804523","LAS PIEDRAS MUNICIPIO","LAS PIEDRAS","P",1,05-JAN-12,162
"1804536","PENUELAS MUNICIPIO","PENUELAS","P",1,05-JAN-12,162
"1804517","JAYUYA MUNICIPIO","JAYUYA","P",1,05-JAN-12,162
"1804485","ANASCO MUNICIPIO","ANASCO","P",1,05-JAN-12,162
"1804547","SANTA ISABEL MUNICIPIO","SANTA ISABEL","P",1,05-JAN-12,162
"1804504","CULEBRA MUNICIPIO","CULEBRA","P",1,05-JAN-12,162
"1804512","GURABO MUNICIPIO","GURABO","P",1,05-JAN-12,162
"1804484","AIBONITO MUNICIPIO","AIBONITO","P",1,05-JAN-12,162
"1804502","COMERIO MUNICIPIO","COMERIO","P",1,05-JAN-12,162
"1804515","HUMACAO MUNICIPIO","HUMACAO","P",1,05-JAN-12,162
"1804518","JUANA DIAZ MUNICIPIO","JUANA DIAZ","P",1,05-JAN-12,162
"1804555","VILLALBA MUNICIPIO","VILLALBA","P",1,05-JAN-12,162
"1804552","VEGA ALTA MUNICIPIO","VEGA ALTA","P",1,05-JAN-12,162
"1804508","GUANICA MUNICIPIO","GUANICA","P",1,05-JAN-12,162
"1804519","JUNCOS MUNICIPIO","JUNCOS","P",1,05-JAN-12,162
"1804494","CANOVANAS MUNICIPIO","CANOVANAS","P",1,05-JAN-12,162
"1804495","CAROLINA MUNICIPIO","CAROLINA","P",1,05-JAN-12,162
"1804534","OROCOVIS MUNICIPIO","OROCOVIS","P",1,05-JAN-12,162
"1804557","YAUCO MUNICIPIO","YAUCO","P",1,05-JAN-12,162
"1804529","MAYAGUEZ MUNICIPIO","MAYAGUEZ","P",1,05-JAN-12,162
"1804500","CIDRA MUNICIPIO","CIDRA","P",1,05-JAN-12,162
