"SPECIES_CD","SPECIES_FAMILY_CD","ERDMANS_CD","SPECIES_NM","SPECIES_DESC","LU_DT","LU_USER_ID","IS_ENABLED"
"167740","GROUPER","080","CONEY-BUTTERFISH","CONEY GROUPER",22-JAN-13,162,1
"097676","LOBSTER","","SPANISH SLIPPER LOBSTER","SPANISH SLIPPER LOBSTER-SCYLLARIDES AEQUINOCTIALIS",10-MAY-13,161,1
"168912","SNAPPER","712","PRISTIPOMOIDES GENUS","PRISTIPOMOIDES SPECIES UNKNOWN",19-NOV-13,162,1
"169623","ANGELFISH","184","QUEEN ANGELFISH","QUEEN ANGELFISH",16-SEP-11,162,1
"161186","EEL","034","GREEN MORAY EEL","GREEN MORAY EEL",14-NOV-11,162,1
"169063","GRUNT","500","CAESAR GRUNT","CAESAR GRUNT",14-NOV-11,162,1
"169058","GRUNT","159","TOMTATE GRUNT","TOMTATE GRUNT",14-NOV-11,162,1
"159977","SHARK","005","NURSE SHARK","NURSE SHARK",14-NOV-11,162,1
"172423","TUNA","226","YELLOWFIN TUNA","YELLOWFIN TUNA",07-MAR-11,1,1
"172400","TUNA","229","SKIPJACK TUNA","SKIPJACK TUNA",07-MAR-11,1,1
"160189","SHARK","010","TIGER SHARK","TIGER SHARK",07-MAR-11,1,1
"095599","SHELLFISH","906","CRABS","CRABS",07-MAR-11,1,1
"072558","CONCH","900","CONCHS","CONCHS",06-MAR-12,161,1
"170336","MULLET","199","WHITE MULLET","WHITE MULLET",07-MAR-11,1,1
"167642","SNOOK","076","SNOOKS","SNOOKS",07-MAR-11,1,1
"168850","SNAPPER","135","SCHOOLMASTER","SCHOOLMASTER SNAPPER",14-NOV-11,162,1
"169069","GRUNT","156","BLUESTRIPED GRUNT","BLUESTRIPED GRUNT (156)",08-JUN-11,162,1
"169059","GRUNT","155","WHITE GRUNT","WHITE GRUNT",14-NOV-11,162,1
"168612","JACK","117","BLUE RUNNER","BLUE RUNNER, CARANX CRYSOS",14-NOV-11,162,1
"173170","TRIGGERFISH","252","OCEAN TRIGGERFISH","OCEAN TRIGGERFISH",09-JUN-11,162,1
"173241","TRUNKFISH","701","HONEYCOMB COWFISH","HONEYCOMB COWFISH",14-NOV-11,162,1
"169198","PORGY","552","SAUCEREYE PORGY","SAUCEREYE PORGY",14-NOV-11,162,1
"169189","PORGY","551","SHEEPSHEAD","SHEEPSHEAD PORGY",14-NOV-11,162,1
"170429","BARRACUDA","203","GREAT BARRACUDA","GREAT BARRACUDA",14-NOV-11,162,1
"167767","GROUPER","750","TIGER GROUPER","TIGER GROUPER",14-NOV-11,162,1
"172482","SWORDFISH","235","SWORDFISH","SWORDFISH",14-NOV-11,162,1
"168677","JACK","120","BIGEYE SCAD","BIGEYE SCAD JACK",14-NOV-11,162,1
"168724","JACK","114","MACKEREL SCAD","MACKEREL SCAD JACK",14-NOV-11,162,1
"165460","BALLYHOO","055","BALLYHOO","BALLYHOO BAITFISH",09-MAY-11,81,1
"168845","SNAPPER","130","SNAPPERS, LUTJANIDAE","SNAPPERS, LUTJANIDAE, PARGOS",10-MAY-11,1,1
"168584","JACK","109","JACKS","JACKS, CARANGIDAE, JURELES",10-MAY-11,81,1
